id,token,gloss_clean,file_id,video_path,absolute_video_path,source_filename,extraction_status,success,signer_id,take_id,trim_start_frames,trim_end_frames,error_message,pose_path,full_pose_path,frames,feature_dim,landmark_count
TOK_0001_T01,ابلع,ابلع,TOK_0001_T01,Tokens/ابلع.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/ابلع.mp4,ابلع.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/ابلع/TOK_0001_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/ابلع/TOK_0001_T01.npy,32,1629,543
TOK_0002_T01,اثنين,اثنين,TOK_0002_T01,Tokens/اثنين.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اثنين.mp4,اثنين.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اثنين/TOK_0002_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اثنين/TOK_0002_T01.npy,40,1629,543
TOK_0003_T01,اذا,اذا,TOK_0003_T01,Tokens/اذا.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اذا.mp4,اذا.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اذا/TOK_0003_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اذا/TOK_0003_T01.npy,35,1629,543
TOK_0004_T01,اربعه,اربعه,TOK_0004_T01,Tokens/اربعة.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اربعة.mp4,اربعة.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اربعه/TOK_0004_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اربعه/TOK_0004_T01.npy,38,1629,543
TOK_0005_T01,اسبوع,اسبوع,TOK_0005_T01,Tokens/اسبوع.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اسبوع.mp4,اسبوع.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اسبوع/TOK_0005_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اسبوع/TOK_0005_T01.npy,39,1629,543
TOK_0006_T01,استخدم,استخدم,TOK_0006_T01,Tokens/استخدم.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/استخدم.mp4,استخدم.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/استخدم/TOK_0006_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/استخدم/TOK_0006_T01.npy,32,1629,543
TOK_0007_T01,اسعاف,اسعاف,TOK_0007_T01,Tokens/اسعاف.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اسعاف.mp4,اسعاف.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اسعاف/TOK_0007_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اسعاف/TOK_0007_T01.npy,53,1629,543
TOK_0008_T01,اسهال,اسهال,TOK_0008_T01,Tokens/اسهال.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اسهال.mp4,اسهال.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اسهال/TOK_0008_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اسهال/TOK_0008_T01.npy,51,1629,543
TOK_0009_T01,اشرب,اشرب,TOK_0009_T01,Tokens/اشرب.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/اشرب.mp4,اشرب.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/اشرب/TOK_0009_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/اشرب/TOK_0009_T01.npy,38,1629,543
TOK_0010_T01,الاذن,الاذن,TOK_0010_T01,Tokens/الاذن.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/الاذن.mp4,الاذن.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/الاذن/TOK_0010_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/الاذن/TOK_0010_T01.npy,50,1629,543
TOK_0011_T01,الانف,الانف,TOK_0011_T01,Tokens/الانف.mp4,C:/Users/alaan/Desktop/Sign_Tokens/Tokens/الانف.mp4,الانف.mp4,success,True,S01,T01,0,0,,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose/الانف/TOK_0011_T01.npy,C:/Users/alaan/Desktop/PharmaSign_BackEnd/external_data/sign_retrieval/large_sentence_experiment/assets/cleaned_pose_full/الانف/TOK_0011_T01.npy,49,1629,543
