token,source_text,cleaned_video_path,cleaned_pose_path,num_frames,pose_dim,signer_id,take_id,id,trim_start_frames,trim_end_frames,success,error_message
اربعه,أربعة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اربعه/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اربعه/TOK_0001_T01.npy,38,1629,S01,T01,TOK_0001_T01,0,0,True,
اربعه,أربعة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اربعه/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اربعه/TOK_0001_T02.npy,30,1629,S01,T02,TOK_0001_T02,0,0,True,
اربعه,أربعة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اربعه/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اربعه/TOK_0001_T03.npy,53,1629,S01,T03,TOK_0001_T03,0,16,True,
اربعه,أربعة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اربعه/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اربعه/TOK_0001_T04.npy,34,1629,S01,T04,TOK_0001_T04,0,2,True,
اسبوع,أسبوع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسبوع/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسبوع/TOK_0002_T01.npy,39,1629,S01,T01,TOK_0002_T01,4,5,True,
اسبوع,أسبوع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسبوع/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسبوع/TOK_0002_T02.npy,40,1629,S01,T02,TOK_0002_T02,0,1,True,
اسبوع,أسبوع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسبوع/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسبوع/TOK_0002_T03.npy,18,1629,S01,T03,TOK_0002_T03,0,26,True,
اسبوع,أسبوع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسبوع/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسبوع/TOK_0002_T04.npy,30,1629,S01,T04,TOK_0002_T04,4,2,True,
اوقف,أوقف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اوقف/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اوقف/TOK_0003_T01.npy,59,1629,S01,T01,TOK_0003_T01,0,2,True,
اوقف,أوقف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اوقف/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اوقف/TOK_0003_T02.npy,46,1629,S01,T02,TOK_0003_T02,0,2,True,
